,0,1
0,403,673
1,398,672
2,405,673
3,400,673
4,412,662
5,402,674
6,403,675
7,404,676
8,405,676
9,406,677
10,408,677
11,410,677
12,410,678
13,412,678
14,413,679
15,415,679
16,416,679
17,420,680
18,419,679
19,420,679
20,422,679
21,423,680
22,424,681
23,425,682
24,426,683
25,427,684
26,427,686
27,428,686
28,429,687
29,430,688
30,431,688
31,433,688
32,434,688
33,436,688
34,437,689
35,438,696
36,439,696
37,435,695
38,436,695
39,442,689
40,437,697
41,438,697
42,439,698
43,440,698
44,447,690
45,451,690
46,451,691
47,452,692
48,453,692
49,452,692
50,454,694
51,455,694
52,455,694
53,457,695
54,457,696
55,458,697
56,458,698
57,459,699
58,460,700
59,461,701
60,461,701
61,461,702
62,462,704
63,462,705
64,462,706
65,462,707
66,463,708
67,463,709
68,463,710
69,463,711
70,463,713
71,463,714
72,462,715
73,462,717
74,461,717
75,458,721
76,457,721
77,451,720
78,451,719
79,451,717
80,450,716
81,449,715
82,449,714
83,448,713
84,448,711
85,448,710
86,447,709
87,447,708
88,447,707
89,446,707
90,445,705
91,445,705
92,445,704
93,443,702
94,444,702
95,443,702
96,440,699
97,439,698
98,439,697
99,439,696
100,439,695
101,439,694
