,directory,filename,grain no,grain_bound_len,grain_center_x,grain_center_y,grain_curvature1,grain_curvature2,grain_ellipse_angle,grain_ellipse_major,grain_ellipse_minor,grain_half_height_area,grain_laplace_volume,grain_max_bound_size,grain_maximum,grain_mean,grain_mean_radius,grain_median,grain_min_bound_size,grain_min_volume,grain_pixel_area,grain_proj_area,grain_zero_volume,image no
0,TopoStats,minicircle,1,1.528259723121218e-07,3.8453270176827934e-07,9.972996499004437e-08,-5937234.941221245,-926730.9302180147,-1.542391714895083,2.0006204928944457e-08,1.2644196590806654e-08,3.9900359257262694e-16,8.822370071794045e-25,4.031802421411332e-08,2.8636947173657623e-09,1.737058683776529e-09,1.399649417052973e-08,1.8719605880598253e-09,2.8771092913613287e-08,8.111091852095701e-25,2827.0,6.898979548641079e-16,1.1957848637714815e-24,0
1,TopoStats,minicircle,2,2.1371422140426173e-07,2.2091137687570626e-07,1.6085394977290504e-07,-1186581.5532992922,-45115.458117710165,0.3304120957605896,2.5790491188197882e-08,1.1331188974609534e-08,3.7459970311864367e-16,8.298881043668237e-25,5.673296202461015e-08,2.784135651641164e-09,1.625924523663792e-09,1.542497767108741e-08,1.7449029924007498e-09,2.524455076276644e-08,7.451927704940079e-25,2876.0,7.018558606965597e-16,1.1368762194681893e-24,0
2,TopoStats,minicircle,3,1.4834483823766634e-07,3.3923496580690017e-07,2.123480945210276e-07,-20571322.25409883,-970014.5173212836,-0.891143580276389,2.8083258669903648e-08,8.213587465816994e-09,4.014439815180253e-16,8.269145789710485e-25,5.140717059877787e-08,2.628733877900331e-09,1.7076196004038757e-09,1.6019264771744775e-08,1.834179855774913e-09,1.9891314244969105e-08,7.527452079435543e-25,2694.0,6.574407818903101e-16,1.1199327024264707e-24,0
3,TopoStats,minicircle,4,2.516591709289543e-07,2.868959438624526e-07,2.1681361785837513e-07,-1834583.1233548683,-865255.4323387232,1.0369066779052658,2.0516928380825214e-08,1.610205889027081e-08,3.836291422166175e-16,8.289823040034761e-25,4.541066679604682e-08,2.6308327824857705e-09,1.5552402091929147e-09,1.5447873493746076e-08,1.6070171512858717e-09,3.4152214300074414e-08,7.508165115965424e-25,3102.0,7.57008650862562e-16,1.1729221892884967e-24,0
4,TopoStats,minicircle,5,1.5049036496247702e-07,4.1913339360361e-07,2.198508918348419e-07,-13697021.357361387,-672958.3671453194,-1.2131294481037427,2.452787504702977e-08,9.21278232983906e-09,3.5580870823907653e-16,7.767843599712607e-25,4.687824917092357e-08,2.7811752490989363e-09,1.6880630206772068e-09,1.527343230612475e-08,1.814943484949289e-09,2.2054359256636102e-08,7.102030079390792e-25,2585.0,6.308405423854684e-16,1.0622398347380207e-24,0
5,TopoStats,minicircle,6,2.173272148296406e-07,1.7910852643215464e-07,2.374461304159859e-07,-3416496.5553703704,-891029.9934693325,1.1294742935269084,2.2602246859319595e-08,1.4299059435397287e-08,4.353653878590621e-16,8.928063326518017e-25,4.775248088403575e-08,2.6224222431745936e-09,1.6384210269309987e-09,1.529249533994316e-08,1.7523734438575533e-09,3.055362270673461e-08,8.107482047575082e-25,3089.0,7.538361452335442e-16,1.231000837895229e-24,0
6,TopoStats,minicircle,7,1.916681466628793e-07,3.820673055452744e-07,2.726195649154604e-07,-9535349.718824532,-497866.4515427485,0.5791888473691357,2.698876160841289e-08,1.0647459681853469e-08,4.729473776181963e-16,9.7108660656107e-25,5.066119870152525e-08,2.6962639379553e-09,1.7106348372754891e-09,1.6439200426186345e-08,1.8727206921862844e-09,2.3255024442086063e-08,8.740059931110415e-25,3124.0,7.623775065424383e-16,1.3002466582543752e-24,0
7,TopoStats,minicircle,8,1.944129994391813e-07,4.218018704032547e-07,2.946849667123315e-07,-5772922.722186534,-2542144.4709922546,0.5864906754497915,2.133738118701511e-08,1.2239977985702893e-08,1.4178659772764298e-16,9.447840397782893e-25,4.3136951339498096e-08,3.984676691551252e-09,1.8069625627022609e-09,1.4323397793574148e-08,1.927084231076523e-09,2.7167977379060368e-08,8.581191727790797e-25,2830.0,6.906300715477274e-16,1.2435847864763337e-24,0
8,TopoStats,minicircle,9,2.033050521735562e-07,1.066378797882967e-07,3.157656339364225e-07,-7825054.290803217,-784633.86730853,0.880652518152583,2.5651237063008374e-08,1.2121833452402356e-08,4.98327422650339e-16,1.053931939437712e-24,5.4083733136262317e-08,2.8065778709823827e-09,1.789716700242028e-09,1.569206409628127e-08,1.987405387388754e-09,2.733567339981765e-08,9.67601400653644e-25,3234.0,7.892217849418199e-16,1.4084564694371988e-24,0
9,TopoStats,minicircle,10,1.8049013637462156e-07,4.404228053472678e-08,3.6828354243838407e-07,-12812372.219254954,-770051.2491035042,0.15582433863056253,2.927178432747882e-08,8.870225421220496e-09,4.795364277707718e-16,9.560976647106205e-25,5.5550623951997046e-08,2.607072948770236e-09,1.7628005378842718e-09,1.6502942162468593e-08,1.9534199279324976e-09,2.0244670076193784e-08,8.622757684451125e-25,2947.0,7.191826222088878e-16,1.2638696833523567e-24,0
